county,url,link_text
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=11953,Code of Ordinances
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=COORSTMI,"CODE OF ORDINANCES CITY OF STURGIS, MICHIGAN"
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=CHCOTA,CHARTER COMPARATIVE TABLE
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_CH6ALLI,Chapter 6 - ALCOHOLIC LIQUOR
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_CH10AN,Chapter 10 - ANIMALS
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_CH14BUBURE,Chapter 14 - BUILDINGS AND BUILDING REGULATIONS
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_CH18BU,Chapter 18 - BUSINESSES
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_CH22CODE,Chapter 22 - COMMUNITY DEVELOPMENT
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_CH26FIPRPR,Chapter 26 - FIRE PREVENTION AND PROTECTION
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_CH34NU,Chapter 34 - NUISANCES
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_CH38OFMIPR,Chapter 38 - OFFENSES AND MISCELLANEOUS PROVISIONS
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_CH42SOWA,Chapter 42 - SOLID WASTE
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_CH46STSIOTPUPL,"Chapter 46 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_CH50SUOTDILA,Chapter 50 - SUBDIVISIONS AND OTHER DIVISIONS OF LAND
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_CH54TE,Chapter 54 - TELECOMMUNICATIONS
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_CH58TRVE,Chapter 58 - TRAFFIC AND VEHICLES
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_CH62UT,Chapter 62 - UTILITIES
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_CH66VE,Chapter 66 - VEGETATION
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_APXAZO,APPENDIX A - ZONING
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=PTIICOOR_APXBFISCMUCIIN,APPENDIX B - FINE SCHEDULE FOR MUNICIPAL CIVIL INFRACTIONS
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=COCOTA1969CO,CODE COMPARATIVE TABLE 1969 CODE
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=COCOTAOR,CODE COMPARATIVE TABLE ORDINANCES
Sturgis,https://library.municode.com/mi/sturgis/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
