county,url,link_text
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=11036,Code of Ordinances
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COORJAMI,"CODE OF ORDINANCES CITY OF JACKSON, MISSISSIPPI"
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=SUHITA,"Supplement History Table




 (This content was modified in this version of the code.)
modified"
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH6AD,Chapter 6 - ADVERTISING
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH10ALBE,Chapter 10 - ALCOHOLIC BEVERAGES
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH14AMEN,Chapter 14 - AMUSEMENTS AND ENTERTAINMENTS
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH18AN,Chapter 18 - ANIMALS
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH22AV,Chapter 22 - AVIATION
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH26BUBURE,Chapter 26 - BUILDINGS AND BUILDING REGULATIONS
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH30BU,Chapter 30 - BUSINESSES
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH34CACO,Chapter 34 - CABLE COMMUNICATIONS
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH35CO,Chapter 35 - COMMUNICATIONS
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH38CE,Chapter 38 - CEMETERIES
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH42CIEM,Chapter 42 - CIVIL EMERGENCIES
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH46CO,Chapter 46 - COURTS
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH50EMSE,Chapter 50 - EMERGENCY SERVICES
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH54EN,Chapter 54 - ENVIRONMENT
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH58FIPRPR,Chapter 58 - FIRE PREVENTION AND PROTECTION
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH62FL,Chapter 62 - FLOODS
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH66HESA,Chapter 66 - HEALTH AND SANITATION
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH70HIPR,Chapter 70 - HISTORIC PRESERVATION
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH74LAEN,Chapter 74 - LAW ENFORCEMENT
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH78LI,Chapter 78 - LIBRARY
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH83POSTCOREDI,Chapter 83 - PORTABLE STORAGE CONTAINERS IN RESIDENTIAL DISTRICTS
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH86OFMIPR,Chapter 86 - OFFENSES AND MISCELLANEOUS PROVISIONS
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH90PARE,Chapter 90 - PARKS AND RECREATION
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH94PESO,Chapter 94 - PEDDLERS AND SOLICITORS
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH98SEGO,Chapter 98 - SECONDHAND GOODS
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH102SI,Chapter 102 - SIGNS
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH106SOWA,Chapter 106 - SOLID WASTE
Jackson,https://library.municode.com/ms/jackson/codes/code_of_ordinances?nodeId=COOR_CH110STSIOTPUPL,"Chapter 110 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
