county,url,link_text
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=15432,Code of Ordinances
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COORLOBEMI,"CODE OF ORDINANCES CITY OF LONG BEACH, MISSISSIPPI"
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE


 (This content was newly added in this version of the code.) 
new"
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH4ALBE,Chapter 4 - ALCOHOLIC BEVERAGES
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH6ANFO,Chapter 6 - ANIMALS AND FOWL
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH8BUBURE,Chapter 8 - BUILDINGS AND BUILDING REGULATIONS
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH10BUBURE,Chapter 10 - BUSINESSES AND BUSINESS REGULATIONS
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH12CE,Chapter 12 - CEMETERIES
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH14EN,Chapter 14 - ENVIRONMENT
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH16FIPRPR,Chapter 16 - FIRE PREVENTION AND PROTECTION
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH18LAEN,Chapter 18 - LAW ENFORCEMENT
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH20LI,Chapter 20 - LIBRARIES
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH22MAHOMOHOPA,Chapter 22 - MANUFACTURED HOMES AND MOBILE HOME PARKS
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH24OFMIPR,Chapter 24 - OFFENSES AND MISCELLANEOUS PROVISIONS
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH26PARELE,"Chapter 26 - PARKS, RECREATION AND LEISURE"
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH28SOWA,Chapter 28 - SOLID WASTE
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH30STSIOTPUPR,Chapter 30 - STREETS AND SIDEWALKS AND OTHER PUBLIC PROPERTIES
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH32TA,Chapter 32 - TAXATION
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH34TRVE,Chapter 34 - TRAFFIC AND VEHICLES
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH36UT,Chapter 36 - UTILITIES
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH38VEHI,Chapter 38 - VEHICLES FOR HIRE
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_CH40WABEHA,"Chapter 40 - WATERWAYS, BEACHES, AND HARBOR"
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_APX1UNLAUSOR,Appendix 1 - UNIFIED LAND USE ORDINANCE
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_APX2SURE,"Appendix 2 - SUBDIVISION REGULATIONS




 (This content was modified in this version of the code.)
modified"
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=COOR_APX3FLDAPROR,"Appendix 3 - FLOOD DAMAGE PREVENTION ORDINANCE




 (This content was modified in this version of the code.)
modified"
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1974CO,CODE COMPARATIVE TABLE - 1974 CODE
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLELE,"CODE COMPARATIVE TABLE - LEGISLATION




 (This content was modified in this version of the code.)
modified"
Long Beach,https://library.municode.com/ms/long_beach/codes/code_of_ordinances?nodeId=STLARETA,"STATE LAW REFERENCE TABLE




 (This content was modified in this version of the code.)
modified"
