county,url,link_text
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=11515,Code of Ordinances
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=COORVIMI,"CODE OF ORDINANCES CITY OF VICKSBURG, MISSISSIPPI"
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTICH,CHARTER
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH3ALBE,Chapter 3 - ALCOHOLIC BEVERAGES
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH4AN,Chapter 4 - ANIMALS
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH5AV,Chapter 5 - AVIATION
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH6BUBURE,Chapter 6 - BUILDINGS AND BUILDING REGULATIONS
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH7CE,Chapter 7 - CEMETERIES
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH7.3CO,Chapter 7.3 - COURTS
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH7.5CU,Chapter 7.5 - CURFEW
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH8EL,Chapter 8 - ELECTIONS
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH9FIPRPR,Chapter 9 - FIRE PREVENTION AND PROTECTION
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH10FLMA,Chapter 10 - FLOODPLAIN MANAGEMENT
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH11HESA,Chapter 11 - HEALTH AND SANITATION
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH12HO,Chapter 12 - HOUSING
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH13LIBURE,Chapter 13 - LICENSES AND BUSINESS REGULATIONS
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH14ME,Chapter 14 - MEAT
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH15MI,Chapter 15 - MILK
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH16MOVETR,Chapter 16 - MOTOR VEHICLES AND TRAFFIC
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH17OFIS,Chapter 17 - OFFENSES—MISCELLANEOUS
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH18PARE,Chapter 18 - PARKS AND RECREATION
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH19PLDE,Chapter 19 - PLANNING AND DEVELOPMENT
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH20STSI,Chapter 20 - STREETS AND SIDEWALKS
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH21SU,Chapter 21 - SUBDIVISIONS
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH22TA,Chapter 22 - TAXATION
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH23UT,Chapter 23 - UTILITIES
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_CH24VEHI,Chapter 24 - VEHICLES FOR HIRE
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=PTIICOOR_APXAZO,APPENDIX A - ZONING
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1959CO,CODE COMPARATIVE TABLE - 1959 CODE
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
Vicksburg,https://library.municode.com/ms/vicksburg/codes/code_of_ordinances?nodeId=STATUTORY_REFERENCE_TABLE,"STATUTORY REFERENCE TABLE




 (This content was modified in this version of the code.)
modified"
