county,url,link_text
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=15856,Code of Ordinances
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=COORWAMI,"CODE OF ORDINANCES OF THE CITY OF WAVELAND, MISSISSIPPI"
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=CHTR_COMPARATIVE_TABLELE,CHARTER COMPARATIVE TABLE - LEGISLATION
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_CH4AN,Chapter 4 - ANIMALS
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_CH6BOBEWA,"Chapter 6 - BOATS, BEACHES AND WATERWAYS"
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_CH8BUBURE,Chapter 8 - BUILDINGS AND BUILDING REGULATIONS
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_CH10CE,Chapter 10 - CEMETERIES
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_CH12EL,Chapter 12 - ELECTIONS
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_CH14ENNARE,Chapter 14 - ENVIRONMENT AND NATURAL RESOURCES
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_CH16FIPRPR,Chapter 16 - FIRE PREVENTION AND PROTECTION
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_CH18FL,Chapter 18 - FLOODS
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_CH20LITAMIBURE,"Chapter 20 - LICENSES, TAXATION AND MISCELLANEOUS BUSINESS REGULATIONS"
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_CH22MUCO,Chapter 22 - MUNICIPAL COURT
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_CH24NU,Chapter 24 - NUISANCES
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_CH26OFMIPR,Chapter 26 - OFFENSES AND MISCELLANEOUS PROVISIONS
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_CH28SOWA,Chapter 28 - SOLID WASTE
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_CH30STSIOTPUPL,"Chapter 30 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_CH32TRVE,Chapter 32 - TRAFFIC AND VEHICLES
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_CH34UT,Chapter 34 - UTILITIES
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_APXASU,Appendix A - SUBDIVISIONS
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=PTIICOOR_APXBZO,Appendix B - ZONING
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLELE,CODE COMPARATIVE TABLE - LEGISLATION
Waveland,https://library.municode.com/ms/waveland/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
