county,url,link_text
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=11933,Code of Ordinances
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=COORTOAHNOCA,"CODE OF ORDINANCES TOWN OF AHOSKIE, NORTH CAROLINA"
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=CHCOTA,CHARTER COMPARATIVE TABLE
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH6ALBEDOAHSODI,"Chapter 6 - ALCOHOLIC BEVERAGES AND THE DOWNTOWN AHOSKIE SOCIAL DISTRICT




 (This content was modified in this version of the code.)
modified"
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH10ANPRCO,Chapter 10 - ANIMAL PROTECTION AND CONTROL
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH14BUBURE,Chapter 14 - BUILDINGS AND BUILDING REGULATIONS
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH18EMMA,Chapter 18 - EMERGENCY MANAGEMENT
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH22FIPRPR,Chapter 22 - FIRE PREVENTION AND PROTECTION
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH26FLDAPR,Chapter 26 - FLOOD DAMAGE PREVENTION
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH30HO,Chapter 30 - HOUSING
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH34LIBURE,Chapter 34 - LICENSES AND BUSINESS REGULATIONS
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH38MOVETR,Chapter 38 - MOTOR VEHICLES AND TRAFFIC
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH42NU,Chapter 42 - NUISANCES
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH46OFMIPR,Chapter 46 - OFFENSES AND MISCELLANEOUS PROVISIONS
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH50PARE,Chapter 50 - PARKS AND RECREATION
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH54PO,Chapter 54 - POLICE
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH58SOWA,Chapter 58 - SOLID WASTE
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH62TA,Chapter 62 - TAXATION
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH66STSIOTMUPR,"Chapter 66 - STREETS, SIDEWALKS AND OTHER MUNICIPAL PROPERTY"
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_CH70UT,Chapter 70 - UTILITIES
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_APXASURE,APPENDIX A - SUBDIVISION REGULATIONS
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_APXBZO,APPENDIX B - ZONING
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=PTIICOOR_APXCSUFOCE,APPENDIX C - SUGGESTED FORM OF CERTIFICATES
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=COCOTA1976CO,CODE COMPARATIVE TABLE 1976 CODE
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=COCOTAOR,"CODE COMPARATIVE TABLE ORDINANCES




 (This content was modified in this version of the code.)
modified"
Ahoskie,https://library.municode.com/nc/ahoskie/codes/code_of_ordinances?nodeId=STLARETA,"STATE LAW REFERENCE TABLE




 (This content was modified in this version of the code.)
modified"
