county,url,link_text
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=12375,Code of Ordinances
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=THCOTOBUNOCA,"THE CODE OF THE TOWN OF BURGAW, NORTH CAROLINA"
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=CHCOTA,CHARTER COMPARATIVE TABLE
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH2AD,Chapter 2 - ADMINISTRATION
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH4ANFO,Chapter 4 - ANIMALS AND FOWL
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH6BUBURE,Chapter 6 - BUILDINGS AND BUILDING REGULATIONS
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH8BU,Chapter 8 - BUSINESSES
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH10CE,Chapter 10 - CEMETERIES
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH12EMMA,Chapter 12 - EMERGENCY MANAGEMENT
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH14EN,Chapter 14 - ENVIRONMENT
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH16FIPRPR,Chapter 16 - FIRE PREVENTION AND PROTECTION
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH18LAEN,Chapter 18 - LAW ENFORCEMENT
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH20OFMIPR,Chapter 20 - OFFENSES AND MISCELLANEOUS PROVISIONS
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH21PARE,Chapter 21 - PARKS AND RECREATION
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH22SOWAMA,Chapter 22 - SOLID WASTE MANAGEMENT
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH24SPEVPADE,"Chapter 24 - SPECIAL EVENTS, PARADES AND DEMONSTRATIONS"
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH28STSI,Chapter 28 - STREETS AND SIDEWALKS
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH30SU,Chapter 30 - SUBDIVISIONS
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH32TRVE,Chapter 32 - TRAFFIC AND VEHICLES
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH34TRSH,Chapter 34 - TREES AND SHRUBS
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH36UT,Chapter 36 - UTILITIES
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH37TOEM,Chapter 37 - TOWN EMPLOYMENT
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=PTIITHCO_CH38ZO,Chapter 38 - ZONING
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=COCOTA1975CO,CODE COMPARATIVE TABLE 1975 CODE
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=COCOTAOR,"CODE COMPARATIVE TABLE ORDINANCES




 (This content was modified in this version of the code.)
modified"
Burgaw,https://library.municode.com/nc/burgaw/codes/code_of_ordinances?nodeId=STLARETA,"STATE LAW REFERENCE TABLE




 (This content was modified in this version of the code.)
modified"
