county,url,link_text
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=12658,Code of Ordinances
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=CD_ORDCACONOCA,"CODE OF ORDINANCES - CABARRUS COUNTY NORTH CAROLINA




 (This content was modified in this version of the code.)
modified"
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTISPAC,PART I - SPECIAL ACTS
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH6AMEN,Chapter 6 - AMUSEMENTS AND ENTERTAINMENTS
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH10AN,Chapter 10 - ANIMALS
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH14BUBURE,Chapter 14 - BUILDINGS AND BUILDING REGULATIONS
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH18BU,Chapter 18 - BUSINESSES
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH20CATE,Chapter 20 - CABLE TELEVISION
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH22CIEM,Chapter 22 - CIVIL EMERGENCIES
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH26EMSE,Chapter 26 - EMERGENCY SERVICES
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH30EN,Chapter 30 - ENVIRONMENT
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH32FAPR,Chapter 32 - FARMLAND PRESERVATION
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH34FIPRPR,Chapter 34 - FIRE PREVENTION AND PROTECTION
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH46OFMIPR,Chapter 46 - OFFENSES AND MISCELLANEOUS PROVISIONS
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH50ACLIPA,Chapter 50 - ACTIVE LIVING AND PARKS
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH58SOWAMA,Chapter 58 - SOLID WASTE MANAGEMENT
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH62STSIOTPUPL,"Chapter 62 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH70TA,Chapter 70 - TAXATION
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH74TRVE,Chapter 74 - TRAFFIC AND VEHICLES
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH78UT,Chapter 78 - UTILITIES
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH82VEHI,Chapter 82 - VEHICLES FOR HIRE
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
Cabarrus County,https://library.municode.com/nc/cabarrus_county/codes/code_of_ordinances?nodeId=STLARETA,"STATE LAW REFERENCE TABLE




 (This content was modified in this version of the code.)
modified"
