county,url,link_text
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=19970,Code of Ordinances
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=COORCHNOCA,"CODE OF ORDINANCES CITY OF CHARLOTTE, NORTH CAROLINA"
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH3AN,Chapter 3 - ANIMALS
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH4AV,Chapter 4 - AVIATION
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH5BUBURE,Chapter 5 - BUILDINGS AND BUILDING REGULATIONS
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH6BUTR,Chapter 6 - BUSINESSES AND TRADES
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH7CE,Chapter 7 - CEMETERIES
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH8FIPRPR,Chapter 8 - FIRE PREVENTION AND PROTECTION
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH9RE,Chapter 9 - RESERVED
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH10HESA,Chapter 10 - HEALTH AND SANITATION
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH11HO,Chapter 11 - HOUSING
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH12HURE,Chapter 12 - HUMAN RELATIONS
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH13LI,Chapter 13 - LICENSES
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH14MOVETR,Chapter 14 - MOTOR VEHICLES AND TRAFFIC
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH15OFMIPR,Chapter 15 - OFFENSES AND MISCELLANEOUS PROVISIONS
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH16PO,Chapter 16 - POLICE
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH17RE,Chapter 17 - RESERVED
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH18ST,Chapter 18 - STORMWATER
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH19STSIOTPUPL,"Chapter 19 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH20RE,Chapter 20 - RESERVED
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH21TR,Chapter 21 - TREES
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH22VEHI,Chapter 22 - VEHICLES FOR HIRE
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH23WASEINWADIRE,"Chapter 23 - WATER, SEWERS AND INDUSTRIAL WASTE DISCHARGE RESTRICTIONS"
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_CH24UNDEOR,"Chapter 24 - UNIFIED DEVELOPMENT ORDINANCE




 (This content was modified in this version of the code.)
modified"
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=PTIICOOR_APXARE,APPENDIX A - RESERVED
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1985CO,CODE COMPARATIVE TABLE - 1985 CODE
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
Charlotte,https://library.municode.com/nc/charlotte/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
