county,url,link_text
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=10109,Code of Ordinances
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=COTOGANOCA,"CODE OF THE TOWN OF GARNER, NORTH CAROLINA"
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=CH,CHARTER
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=PTIGEOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=PTIGEOR_CH2AD,Chapter 2 - ADMINISTRATION
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=PTIGEOR_CH3ANFO,Chapter 3 - ANIMALS AND FOWL
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=PTIGEOR_CH4FIPRPR,Chapter 4 - FIRE PREVENTION AND PROTECTION
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=PTIGEOR_CH5GARERUWA,"Chapter 5 - GARBAGE, REFUSE, RUBBISH AND WASTE"
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=PTIGEOR_CH6HESAGE,Chapter 6 - HEALTH AND SANITATION GENERALLY
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=PTIGEOR_CH7MIHO,Chapter 7 - MINIMUM HOUSING
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=PTIGEOR_CH9LIBUREGE,Chapter 9 - LICENSES AND BUSINESS REGULATIONS GENERALLY
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=PTIGEOR_CH10MOVETR,Chapter 10 - MOTOR VEHICLES AND TRAFFIC
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=PTIGEOR_CH11OFISPR,Chapter 11 - OFFENSES—MISCELLANEOUS PROVISIONS
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=PTIGEOR_CH12PARE,Chapter 12 - PARKS AND RECREATION
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=PTIGEOR_CH13.1PL,Chapter 13.1 - PLANNING
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=PTIGEOR_CH14PO,Chapter 14 - POLICE
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=PTIGEOR_CH15STSI,Chapter 15 - STREETS AND SIDEWALKS
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=PTIGEOR_CH16VEHI,Chapter 16 - VEHICLES FOR HIRE
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=PTIGEOR_CH17WASE,Chapter 17 - WATER AND SEWERS
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=PTIGEOR_CH18WEEX,Chapter 18 - WEAPONS AND EXPLOSIVES
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=PTIITEOR,PART II - TECHNICAL ORDINANCES
Garner,https://library.municode.com/nc/garner/codes/code_of_ordinances?nodeId=COCOTA,CODE COMPARATIVE TABLE
