county,url,link_text
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=14661,Code of Ordinances
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=COORCOHYNOCA,"CODE OF ORDINANCES COUNTY OF HYDE, NORTH CAROLINA"
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIRESTLA,PART I - RELATED STATE LAWS
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH4AN,Chapter 4 - ANIMALS
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH6AV,Chapter 6 - AVIATION
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH8BUBURE,Chapter 8 - BUILDINGS AND BUILDING REGULATIONS
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH10BUBURE,Chapter 10 - BUSINESSES AND BUSINESS REGULATIONS
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH12EMMA,Chapter 12 - EMERGENCY MANAGEMENT
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH14EMSE,Chapter 14 - EMERGENCY SERVICES
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH16EN,Chapter 16 - ENVIRONMENT
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH18FIPR,Chapter 18 - FIRE PREVENTION
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH20FLDAPR,Chapter 20 - FLOOD DAMAGE PREVENTION
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH22HURE,Chapter 22 - HUMAN RELATIONS
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH24MAHO,Chapter 24 - MANUFACTURED HOUSING
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH26OFMIPR,Chapter 26 - OFFENSES AND MISCELLANEOUS PROVISIONS
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH28PARE,Chapter 28 - PARKS AND RECREATION
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH30PL,Chapter 30 - PLANNING
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH32SOWA,Chapter 32 - SOLID WASTE
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH34STSIOTPUPR,"Chapter 34 - STREETS, SIDEWALKS AND OTHER PUBLIC PROPERTIES"
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH36SU,Chapter 36 - SUBDIVISIONS
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH38TA,Chapter 38 - TAXATION
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH40TE,Chapter 40 - TELECOMMUNICATIONS
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH42UT,Chapter 42 - UTILITIES
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=COCOTAOR,"CODE COMPARATIVE TABLE ORDINANCES




 (This content was modified in this version of the code.)
modified"
Hyde County,https://library.municode.com/nc/hyde_county/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
