county,url,link_text
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=12368,Code of Ordinances
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=COORRENOCA,"CODE OF ORDINANCES CITY OF REIDSVILLE, NORTH CAROLINA"
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTICH,CHARTER
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=CHCOTA,CHARTER COMPARATIVE TABLE
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH3ANFO,Chapter 3 - ANIMALS AND FOWL
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH4BUCOREAC,Chapter 4 - BUILDINGS; CONSTRUCTION AND RELATED ACTIVITIES
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH5BULITARE,"Chapter 5 - BUSINESS LICENSES, TAXES AND REGULATIONS"
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH6CE,Chapter 6 - CEMETERIES
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH7FITA,Chapter 7 - FINANCE AND TAXATION
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH8FIPRPR,Chapter 8 - FIRE PROTECTION AND PREVENTION
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH9HESA,Chapter 9 - HEALTH AND SANITATION
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH9.5HURECO,Chapter 9.5 - HUMAN RELATIONS COMMISSION
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH10MUUTSE,Chapter 10 - MUNICIPAL UTILITIES AND SERVICES
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH11OFMIPR,Chapter 11 - OFFENSES AND MISCELLANEOUS PROVISIONS
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH12PARE,Chapter 12 - PARKS AND RECREATION
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH13PESOITME,"Chapter 13 - PEDDLERS, SOLICITORS AND ITINERANT MERCHANTS"
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH14PE,Chapter 14 - PERSONNEL
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH15PLDE,Chapter 15 - PLANNING AND DEVELOPMENT
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH16STSI,Chapter 16 - STREETS AND SIDEWALKS
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH17TR,Chapter 17 - TRAFFIC
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=PTIICOOR_CH18VEHI,Chapter 18 - VEHICLES FOR HIRE
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1985CO,CODE COMPARATIVE TABLE - 1985 CODE
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,CODE COMPARATIVE TABLE - ORDINANCES
Reidsville,https://library.municode.com/nc/reidsville/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
