county,url,link_text
Rolesville,https://library.municode.com/nc/rolesville/codes/code_of_ordinances?nodeId=15724,Code of Ordinances
Rolesville,https://library.municode.com/nc/rolesville/codes/code_of_ordinances?nodeId=COTORONOCA,"CODE TOWN OF ROLESVILLE, NORTH CAROLINA"
Rolesville,https://library.municode.com/nc/rolesville/codes/code_of_ordinances?nodeId=PTICOOR_TITIGEPR,TITLE I - GENERAL PROVISIONS
Rolesville,https://library.municode.com/nc/rolesville/codes/code_of_ordinances?nodeId=PTICOOR_TITIIIAD,TITLE III - ADMINISTRATION
Rolesville,https://library.municode.com/nc/rolesville/codes/code_of_ordinances?nodeId=PTICOOR_TITVPUWO,TITLE V - PUBLIC WORKS
Rolesville,https://library.municode.com/nc/rolesville/codes/code_of_ordinances?nodeId=PTICOOR_TITVIITRCO,TITLE VII - TRAFFIC CODE
Rolesville,https://library.municode.com/nc/rolesville/codes/code_of_ordinances?nodeId=PTICOOR_TITIXGERE,TITLE IX - GENERAL REGULATIONS
Rolesville,https://library.municode.com/nc/rolesville/codes/code_of_ordinances?nodeId=PTICOOR_TITXIBURE,TITLE XI - BUSINESS REGULATIONS
Rolesville,https://library.municode.com/nc/rolesville/codes/code_of_ordinances?nodeId=PTICOOR_TITXIIIGEOF,TITLE XIII - GENERAL OFFENSES
Rolesville,https://library.municode.com/nc/rolesville/codes/code_of_ordinances?nodeId=PTICOOR_TITXVLAUS,TITLE XV - LAND USAGE
Rolesville,https://library.municode.com/nc/rolesville/codes/code_of_ordinances?nodeId=TASPOR,TABLE OF SPECIAL ORDINANCES
Rolesville,https://library.municode.com/nc/rolesville/codes/code_of_ordinances?nodeId=PARE,PARALLEL REFERENCES
