county,url,link_text
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=15128,Code of Ordinances
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=COORTOSYNOCA,"CODE OF ORDINANCES TOWN OF SYLVA, NORTH CAROLINA"
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=SPACH,Subpart A - CHARTER
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=SPBCHAMAC,Subpart B - CHARTER AMENDATORY ACTS
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=SPCRELA,Subpart C - RELATED LAWS
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=SPDHIDO,Subpart D - HISTORICAL DOCUMENTS
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH4ALBE,Chapter 4 - ALCOHOLIC BEVERAGES
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH6AN,Chapter 6 - ANIMALS
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH8BUBURE,Chapter 8 - BUILDINGS AND BUILDING REGULATIONS
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH10CIEM,Chapter 10 - CIVIL EMERGENCIES
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH12FIPRPR,Chapter 12 - FIRE PREVENTION AND PROTECTION
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH14FLDAPR,Chapter 14 - FLOOD DAMAGE PREVENTION
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH16HESA,Chapter 16 - HEALTH AND SANITATION
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH18HO,Chapter 18 - HOUSING
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH20LAEN,Chapter 20 - LAW ENFORCEMENT
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH22LIBURE,Chapter 22 - LICENSES AND BUSINESS REGULATIONS
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH24MIPROF,Chapter 24 - MISCELLANEOUS PROVISIONS AND OFFENSES
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH26MOVE,Chapter 26 - MOTOR VEHICLES
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH28PA,Chapter 28 - PARKS
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH30SOWA,Chapter 30 - SOLID WASTE
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH32STSI,Chapter 32 - STREETS AND SIDEWALKS
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH34TA,Chapter 34 - TAXATION
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH36TA,Chapter 36 - TAXICABS
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_CH38TR,Chapter 38 - TRAFFIC
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=PTIICOOR_APXAZOSUOR,Appendix A - ZONING AND SUBDIVISIONS ORDINANCE
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE2002CO,CODE COMPARATIVE TABLE - 2002 CODE
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE2013CO,CODE COMPARATIVE TABLE - 2013 CODE
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLELE,CODE COMPARATIVE TABLE - LEGISLATION
Sylva,https://library.municode.com/nc/sylva/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
