county,url,link_text
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=14255,Code of Ordinances
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=COUNDEORUDTOWENOCA,"CODE AND UNIFIED DEVELOPMENT ORDINANCE (UDO) OF THE TOWN OF WENDELL, NORTH CAROLINA




 (This content was modified in this version of the code.)
modified"
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=PTICHLOLA,PART I - CHARTER AND LOCAL LAWS
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=CHCOTASELA,CHARTER COMPARATIVE TABLE SESSION LAWS
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=CHCOTALE,CHARTER COMPARATIVE TABLE LEGISLATION
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=PTIICOOR_SPAGEOR,Subpart A - GENERAL ORDINANCES
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=PTIICOOR_CH4AN,Chapter 4 - ANIMALS
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=PTIICOOR_CH6BU,Chapter 6 - BUSINESSES
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=PTIICOOR_CH8CE,Chapter 8 - CEMETERIES
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=PTIICOOR_CH10EN,Chapter 10 - ENVIRONMENT
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=PTIICOOR_CH12FIPR,Chapter 12 - FIRE PROTECTION
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=PTIICOOR_CH14OF,Chapter 14 - OFFENSES
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=PTIICOOR_CH16PARE,Chapter 16 - PARKS AND RECREATION
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=PTIICOOR_CH18SOWA,Chapter 18 - SOLID WASTE
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=PTIICOOR_CH20STSIOTPUPL,"Chapter 20 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=PTIICOOR_CH24TRVE,Chapter 24 - TRAFFIC AND VEHICLES
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=PTIICOOR_CH26UT,Chapter 26 - UTILITIES
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=PTIICOOR_CH28VE,Chapter 28 - VEGETATION
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=SPBLAUSREUNDEORUD,Subpart B - LAND USE REGULATIONS AND UNIFIED DEVELOPMENT ORDINANCE (UDO)
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=UNDEORUD,UNIFIED DEVELOPMENT ORDINANCE (UDO)
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=COCOTA1969CO,"CODE COMPARATIVE TABLE 1969 CODE




 (This content was modified in this version of the code.)
modified"
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=COCOTA1986CO,CODE COMPARATIVE TABLE 1986 CODE
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=COCOTAORRE,"CODE COMPARATIVE TABLE ORDINANCES/RESOLUTIONS




 (This content was modified in this version of the code.)
modified"
Wendell,https://library.municode.com/nc/wendell/codes/code_of_ordinances?nodeId=STLARETA,"STATE LAW REFERENCE TABLE




 (This content was modified in this version of the code.)
modified"
