county,url,link_text
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=11758,Code of Ordinances
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=THCOJANODA2022,"THE CODE OF THE CITY OF JAMESTOWN, NORTH DAKOTA   2022"
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH2AD,Chapter 2 - ADMINISTRATION
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH3AD,Chapter 3 - ADVERTISING
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH5ALBE,Chapter 5 - ALCOHOLIC BEVERAGES
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH6ANFO,Chapter 6 - ANIMALS AND FOWL
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH7AU,Chapter 7 - AUCTIONEERS
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH8BI,Chapter 8 - BICYCLES
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH9BU,Chapter 9 - BUILDINGS
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH9.5BU,Chapter 9.5 - BUSINESSES
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH10CACIOTAM,"Chapter 10 - CARNIVALS, CIRCUSES AND OTHER AMUSEMENTS"
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH11CISE,Chapter 11 - CIVIL SERVICE
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH12DADAPLMUPE,"Chapter 12 - DANCES, DANCING PLACES AND MUSICAL PERFORMANCES"
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH13EL,Chapter 13 - ELECTIONS
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH14EL,Chapter 14 - ELECTRICITY
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH15FIPR,Chapter 15 - FIRE PROTECTION
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH16SOWAMA,Chapter 16 - SOLID WASTE MANAGEMENT
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH17HESA,Chapter 17 - HEALTH AND SANITATION
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH18JUDE,Chapter 18 - JUNK DEALERS
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH19LI,Chapter 19 - LICENSES
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH21MOVETR,Chapter 21 - MOTOR VEHICLES AND TRAFFIC
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH22OFIS,Chapter 22 - OFFENSES—MISCELLANEOUS
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH22.5PABR,Chapter 22.5 - PAWN BROKERS
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH23PL,Chapter 23 - PLUMBING
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH24PODE,Chapter 24 - POLICE DEPARTMENT
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH25STSI,Chapter 25 - STREETS AND SIDEWALKS
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH25.5TA,Chapter 25.5 - TAXATION
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH26TA,Chapter 26 - TAXICABS
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH27SEIEBU,Chapter 27 - SEXUALLY-ORIENTED BUSINESSES
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH28MOHOPATRPA,Chapter 28 - MOBILE HOME PARKS AND TRAILER PARKS
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH29TRMEVE,Chapter 29 - TRANSIENT MERCHANTS AND VENDORS
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH30WASEUT,Chapter 30 - WATER AND SEWER UTILITY
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH31STMA,Chapter 31 - STORMWATER MANAGEMENT
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CH32FLDAPR,Chapter 32 - FLOOD DAMAGE PREVENTION
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=APXAAIZO,APPENDIX A - AIRPORT ZONING
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=APXBSU,APPENDIX B - SUBDIVISIONS
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=APXCZOREGE,APPENDIX C - ZONING REGULATIONS GENERALLY
Jamestown,https://library.municode.com/nd/jamestown/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,CODE COMPARATIVE TABLE - ORDINANCES
