county,url,link_text
South Brunswick Township,https://library.municode.com/nj/south_brunswick_township/codes/code_of_ordinances?nodeId=13445,Code of Ordinances
South Brunswick Township,https://library.municode.com/nj/south_brunswick_township/codes/code_of_ordinances?nodeId=SOBRTOCOTOSOBRNEJE,"SOUTH BRUNSWICK TOWNSHIP CODE TOWNSHIP OF SOUTH BRUNSWICK, NEW JERSEY"
South Brunswick Township,https://library.municode.com/nj/south_brunswick_township/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
South Brunswick Township,https://library.municode.com/nj/south_brunswick_township/codes/code_of_ordinances?nodeId=CH1GEPR,Chapter 1 - GENERAL PROVISIONS
South Brunswick Township,https://library.municode.com/nj/south_brunswick_township/codes/code_of_ordinances?nodeId=CH2AD,Chapter 2 - ADMINISTRATION
South Brunswick Township,https://library.municode.com/nj/south_brunswick_township/codes/code_of_ordinances?nodeId=CH6ALBE,Chapter 6 - ALCOHOLIC BEVERAGES
South Brunswick Township,https://library.municode.com/nj/south_brunswick_township/codes/code_of_ordinances?nodeId=CH8CA,Chapter 8 - CANNABIS
South Brunswick Township,https://library.municode.com/nj/south_brunswick_township/codes/code_of_ordinances?nodeId=CH10AMEN,Chapter 10 - AMUSEMENTS AND ENTERTAINMENTS
South Brunswick Township,https://library.municode.com/nj/south_brunswick_township/codes/code_of_ordinances?nodeId=CH14AN,Chapter 14 - ANIMALS
South Brunswick Township,https://library.municode.com/nj/south_brunswick_township/codes/code_of_ordinances?nodeId=CH18BOHERE,Chapter 18 - BOARD OF HEALTH REGULATIONS
South Brunswick Township,https://library.municode.com/nj/south_brunswick_township/codes/code_of_ordinances?nodeId=CH22BUBURE,Chapter 22 - BUILDINGS AND BUILDING REGULATIONS
South Brunswick Township,https://library.municode.com/nj/south_brunswick_township/codes/code_of_ordinances?nodeId=CH26BU,Chapter 26 - BUSINESSES
South Brunswick Township,https://library.municode.com/nj/south_brunswick_township/codes/code_of_ordinances?nodeId=CH30CIEM,Chapter 30 - CIVIL EMERGENCIES
South Brunswick Township,https://library.municode.com/nj/south_brunswick_township/codes/code_of_ordinances?nodeId=CH32COENAGPR,Chapter 32. - COMMUNITY ENERGY AGGREGATION PROGRAM
South Brunswick Township,https://library.municode.com/nj/south_brunswick_township/codes/code_of_ordinances?nodeId=CH34CO,Chapter 34 - COURTS
