county,url,link_text
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=14747,Code of Ordinances
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=HONEMEMUCO,"HOBBS, NEW MEXICO MUNICIPAL CODE




 (This content was modified in this version of the code.)
modified"
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=CIHOCH,CITY OF HOBBS CHARTER
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=CHCOTA,CHARTER COMPARATIVE TABLE
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=COOR_TIT1GEPR,Title 1 - GENERAL PROVISIONS
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=COOR_TIT2ADPE,Title 2 - ADMINISTRATION AND PERSONNEL
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=COOR_TIT3REFI,Title 3 - REVENUE AND FINANCE
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=COOR_TIT5BULIRE,Title 5 - BUSINESS LICENSES AND REGULATIONS
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=COOR_TIT6AN,"Title 6 - ANIMALS
 (This content was amended in this version of the code.)
amended"
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=COOR_TIT8HESA,Title 8 - HEALTH AND SAFETY
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=COOR_TIT9PUPEMOWE,"Title 9 - PUBLIC PEACE, MORALS AND WELFARE"
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=COOR_TIT10VETR,TITLE 10 - VEHICLES AND TRAFFIC
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=COOR_TIT12STSIPUPL,"Title 12 - STREETS, SIDEWALKS AND PUBLIC PLACES"
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=COOR_TIT13PUSE,Title 13 - PUBLIC SERVICES
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=COOR_TIT15BUCO,Title 15 - BUILDINGS AND CONSTRUCTION
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=COOR_TIT16SU,Title 16 - SUBDIVISIONS
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=COOR_TIT18PLDE,Title 18 - PLANNING AND DEVELOPMENT
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=COOR_FROR,FRANCHISE ORDINANCES
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=STRENEMEMU,STATUTORY REFERENCES FOR NEW MEXICO MUNICIPALITIES
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=PRCOCRFETA,PRIOR CODE CROSS-REFERENCE TABLE
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=ORLIDITA,ORDINANCE LIST AND DISPOSITION TABLE
Hobbs,https://library.municode.com/nm/hobbs/codes/code_of_ordinances?nodeId=COCOTADILI,"CODE COMPARATIVE TABLE AND DISPOSITION LIST




 (This content was modified in this version of the code.)
modified"
