county,url,link_text
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=14726,Code of Ordinances
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=COORLAOK,"CODE OF ORDINANCES CITY OF LAWTON, OKLAHOMA"
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=APXCCICHLA,Appendix C - CITY CHARTER OF THE CITY OF LAWTON
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CHCOTADILI,CHARTER COMPARATIVE TABLE AND DISPOSITION LIST
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH2AD,Chapter 2 - ADMINISTRATION
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH4ALBE,Chapter 4 - ALCOHOLIC BEVERAGES
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH5AN,Chapter 5 - ANIMALS
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH6BUCOHO,"Chapter 6 - BUILDINGS, CONSTRUCTION AND HOUSING"
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH7BU,Chapter 7 - BUSINESS
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH8PUHESA,Chapter 8 - PUBLIC HEALTH AND SAFETY
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH9CO,Chapter 9 - COURT
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH10FITA,Chapter 10 - FINANCE AND TAXATION
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH11FIDESE,Chapter 11 - FIRE DEPARTMENT AND SERVICES
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH12FOFOES,Chapter 12 - FOOD AND FOOD ESTABLISHMENTS
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH13HURIHURE,Chapter 13 - HUMAN RIGHTS AND HUMAN RELATIONS
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH14MOHO,Chapter 14 - MOBILE HOMES
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH15NUHE,Chapter 15 - NUISANCES AND HEALTH
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH16OFCR,Chapter 16 - OFFENSES AND CRIMES
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH17PEPOPR,Chapter 17 - PERSONNEL POLICIES AND PROCEDURES
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH18PLZO,Chapter 18 - PLANNING AND ZONING
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH19RE,Chapter 19 - RECREATION
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH19ASTFLMA,Chapter 19A - STORMWATER AND FLOODPLAIN MANAGEMENT
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH20STSI,Chapter 20 - STREETS AND SIDEWALKS
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH21SU,Chapter 21 - SUBDIVISIONS
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH22UT,Chapter 22 - UTILITIES
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=CH23VETR,Chapter 23 - VEHICLES AND TRAFFIC
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=APXAFECH,Appendix A - FEES AND CHARGES
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=APXBBOSC,Appendix B - BOND SCHEDULE
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=DITA,DISPOSITION TABLE
Lawton,https://library.municode.com/ok/lawton/codes/code_of_ordinances?nodeId=COCOTADILI,CODE COMPARATIVE TABLE AND DISPOSITION LIST
