county,url,link_text
Redmond,https://library.municode.com/or/redmond/codes/code_of_ordinances?nodeId=17210,Code of Ordinances
Redmond,https://library.municode.com/or/redmond/codes/code_of_ordinances?nodeId=COORREOR,"CODE OF ORDINANCES CITY OF REDMOND, OREGON"
Redmond,https://library.municode.com/or/redmond/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Redmond,https://library.municode.com/or/redmond/codes/code_of_ordinances?nodeId=RECH,Redmond City Charter
Redmond,https://library.municode.com/or/redmond/codes/code_of_ordinances?nodeId=CH1GEPR,CHAPTER 1 - GENERAL PROVISIONS
Redmond,https://library.municode.com/or/redmond/codes/code_of_ordinances?nodeId=CH2GOAD,CHAPTER 2 - GOVERNMENT AND ADMINISTRATION
Redmond,https://library.municode.com/or/redmond/codes/code_of_ordinances?nodeId=CH3PUIM,CHAPTER 3 - PUBLIC IMPROVEMENTS
Redmond,https://library.municode.com/or/redmond/codes/code_of_ordinances?nodeId=CH4UT,CHAPTER 4 - UTILITIES
Redmond,https://library.municode.com/or/redmond/codes/code_of_ordinances?nodeId=CH5PUPR,CHAPTER 5 - PUBLIC PROTECTION
Redmond,https://library.municode.com/or/redmond/codes/code_of_ordinances?nodeId=CH6VETR,CHAPTER 6 - VEHICLES AND TRAFFIC
Redmond,https://library.municode.com/or/redmond/codes/code_of_ordinances?nodeId=CH7BULI,CHAPTER 7 - BUSINESS LICENSES
Redmond,https://library.municode.com/or/redmond/codes/code_of_ordinances?nodeId=CH8DERE,CHAPTER 8 - DEVELOPMENT REGULATIONS
Redmond,https://library.municode.com/or/redmond/codes/code_of_ordinances?nodeId=CH9BUFICO,CHAPTER 9 - BUILDING AND FIRE CODES
Redmond,https://library.municode.com/or/redmond/codes/code_of_ordinances?nodeId=CH10AIRE,CHAPTER 10 - AIRPORT REGULATIONS
Redmond,https://library.municode.com/or/redmond/codes/code_of_ordinances?nodeId=CH11SICO,CHAPTER 11 - SIGN CODE
Redmond,https://library.municode.com/or/redmond/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,CODE COMPARATIVE TABLE - ORDINANCES
