county,url,link_text
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=12010,Code of Ordinances
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COORTOHORHIS,"CODE OF ORDINANCES TOWN OF HOPKINTON, RHODE ISLAND"
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=PTIHORUCH,PART I - HOME RULE CHARTER
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=CHCOTA,CHARTER COMPARATIVE TABLE
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH3AMEN,Chapter 3 - AMUSEMENTS AND ENTERTAINMENT
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH4AN,Chapter 4 - ANIMALS
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH5BUBURE,Chapter 5 - BUILDINGS AND BUILDING REGULATIONS
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH5.4BULI,Chapter 5.4 - BUSINESSES AND LICENSING
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH5.5FAVIOR,Chapter 5.5 - FARM VIABILITY ORDINANCE
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH6FIPRPR,Chapter 6 - FIRE PREVENTION AND PROTECTION
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH7HIPR,Chapter 7 - HISTORIC PRESERVATION
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH7.5HO,Chapter 7.5 - HOUSING
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH8MIOF,Chapter 8 - MISCELLANEOUS OFFENSES
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH9MOHOMOHOPACAAR,Chapter 9 - MOBILE HOMES AND MOBILE HOME PARKS AND CAMPING AREAS
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH9.5NARE,Chapter 9.5 - NATURAL RESOURCES
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH10NU,Chapter 10 - NUISANCES
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH11PARE,Chapter 11 - PARKS AND RECREATION
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH12PESO,Chapter 12 - PEDDLERS AND SOLICITORS
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH13PE,Chapter 13 - PERSONNEL
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH13.5PLDE,Chapter 13.5 - PLANNING AND DEVELOPMENT
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH14PO,Chapter 14 - POLICE
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH15SEGO,Chapter 15 - SECONDHAND GOODS
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH16SOWA,Chapter 16 - SOLID WASTE
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH17STSIOTPUPL,"Chapter 17 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH19TA,Chapter 19 - TAXATION
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH20TRMOVE,Chapter 20 - TRAFFIC AND MOTOR VEHICLES
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH21UT,Chapter 21 - UTILITIES
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_CH22MUCO,Chapter 22 - MUNICIPAL COURT
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COOR_APXAZO,APPENDIX A - ZONING
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=COCOTA,CODE COMPARATIVE TABLE
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=STATE_LAW_REFERENCE_TABLEPULA,STATE LAW REFERENCE TABLE - PUBLIC LAWS
Hopkinton,https://library.municode.com/ri/hopkinton/codes/code_of_ordinances?nodeId=STATE_LAW_REFERENCE_TABLEGELA,STATE LAW REFERENCE TABLE - GENERAL LAWS
