county,url,link_text
Beaufort,https://library.municode.com/sc/beaufort/codes/code_of_ordinances?nodeId=10399,Code of Ordinances
Beaufort,https://library.municode.com/sc/beaufort/codes/code_of_ordinances?nodeId=COORBESOCA,"CODE OF ORDINANCES BEAUFORT, SOUTH CAROLINA"
Beaufort,https://library.municode.com/sc/beaufort/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Beaufort,https://library.municode.com/sc/beaufort/codes/code_of_ordinances?nodeId=CO_PT1GOAD,Part 1 - GOVERNMENT AND ADMINISTRATION
Beaufort,https://library.municode.com/sc/beaufort/codes/code_of_ordinances?nodeId=CO_PT2PUSA,Part 2 - PUBLIC SAFETY
Beaufort,https://library.municode.com/sc/beaufort/codes/code_of_ordinances?nodeId=CO_PT3PUWO,Part 3 - PUBLIC WORKS
Beaufort,https://library.municode.com/sc/beaufort/codes/code_of_ordinances?nodeId=CO_PT4PUUT,Part 4 - PUBLIC UTILITIES
Beaufort,https://library.municode.com/sc/beaufort/codes/code_of_ordinances?nodeId=CO_PT5PLDE,Part 5 - PLANNING AND DEVELOPMENT
Beaufort,https://library.municode.com/sc/beaufort/codes/code_of_ordinances?nodeId=CO_PT6HESA,Part 6 - HEALTH AND SANITATION
Beaufort,https://library.municode.com/sc/beaufort/codes/code_of_ordinances?nodeId=CO_PT7LIRE,Part 7 - LICENSING AND REGULATION
Beaufort,https://library.municode.com/sc/beaufort/codes/code_of_ordinances?nodeId=CO_PT8MOVETR,Part 8 - MOTOR VEHICLES AND TRAFFIC
Beaufort,https://library.municode.com/sc/beaufort/codes/code_of_ordinances?nodeId=CO_PT9OF,Part 9 - OFFENSES
Beaufort,https://library.municode.com/sc/beaufort/codes/code_of_ordinances?nodeId=CO_PT10FITA,Part 10 - FINANCE AND TAXATION
Beaufort,https://library.municode.com/sc/beaufort/codes/code_of_ordinances?nodeId=APPENDIXCATEFRAD,APPENDIX - CABLE TELEVISION FRANCHISES ADOPTED
Beaufort,https://library.municode.com/sc/beaufort/codes/code_of_ordinances?nodeId=ORDITA,ORDINANCE DISPOSITION TABLE
Beaufort,https://library.municode.com/sc/beaufort/codes/code_of_ordinances?nodeId=COCOTA,"CODE COMPARATIVE TABLE




 (This content was modified in this version of the code.)
modified"
