county,url,link_text
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=10887,Code of Ordinances
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COORHASOCA,"CODE OF ORDINANCES CITY OF HARDEEVILLE, SOUTH CAROLINA"
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH3ALBE,Chapter 3 - ALCOHOLIC BEVERAGES
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH4AM,Chapter 4 - AMUSEMENTS
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH5ANFO,Chapter 5 - ANIMALS AND FOWL
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH6BUBURE,Chapter 6 - BUILDINGS AND BUILDING REGULATIONS
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH7CE,Chapter 7 - CEMETERIES
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH8FIPRPR,Chapter 8 - FIRE PREVENTION AND PROTECTION
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH9FLDAPR,Chapter 9 - FLOOD DAMAGE PREVENTION
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH10HESA,Chapter 10 - HEALTH AND SANITATION
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH11LIPEMIBURE,"Chapter 11 - LICENSES, PERMITS AND MISCELLANEOUS BUSINESS REGULATIONS"
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH12MUCO,Chapter 12 - MUNICIPAL COURT
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH13OFMIPR,Chapter 13 - OFFENSES AND MISCELLANEOUS PROVISIONS
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH14PLZO,Chapter 14 - PLANNING AND ZONING
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH15RA,Chapter 15 - RAILROADS
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH16STSIPUPL,"Chapter 16 - STREETS, SIDEWALKS AND PUBLIC PLACES"
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH17TA,Chapter 17 - TAXATION
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH18TRMOVE,Chapter 18 - TRAFFIC AND MOTOR VEHICLES
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH19UT,Chapter 19 - UTILITIES
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COOR_CH13.5PARETO,"Chapter 13.5 - PARKS, RECREATION AND TOURISM"
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COCOTA1976CO,CODE COMPARATIVE TABLE 1976 CODE
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=COCOTAOR,"CODE COMPARATIVE TABLE ORDINANCES




 (This content was modified in this version of the code.)
modified"
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=STRETA,STATUTORY REFERENCE TABLE
Hardeeville,https://library.municode.com/sc/hardeeville/codes/code_of_ordinances?nodeId=APXAMUZODEOR,APPENDIX A - MUNICIPAL ZONING AND DEVELOPMENT ORDINANCE
