county,url,link_text
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=10209,Code of Ordinances
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COORNOAUSOCA,CODE OF ORDINANCES CITY OF NORTH AUGUSTA SOUTH CAROLINA
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH3AD,Chapter 3 - ADVERTISING
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH4ALBE,Chapter 4 - ALCOHOLIC BEVERAGES
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH5ANFO,Chapter 5 - ANIMALS AND FOWL
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH6BUCOREAC,Chapter 6 - BUILDINGS; CONSTRUCTION; RELATED ACTIVITIES
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH7CE,Chapter 7 - CEMETERIES
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH9DIEMPR,Chapter 9 - DISASTER AND EMERGENCY PREPAREDNESS
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH10EL,Chapter 10 - ELECTIONS
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH11FIPRPR,Chapter 11 - FIRE PROTECTION AND PREVENTION
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH12HESA,Chapter 12 - HEALTH AND SANITATION
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH13.1MUCO,Chapter 13.1 - MUNICIPAL COURT
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH14MUUT,Chapter 14 - MUNICIPAL UTILITIES
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH15OCLIRE,Chapter 15 - OCCUPATIONAL LICENSES AND REGULATIONS
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH16OFMIPR,Chapter 16 - OFFENSES AND MISCELLANEOUS PROVISIONS
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH17PARE,Chapter 17 - PARKS AND RECREATION
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH18PLNOAUDECOZOLADERE,Chapter 18 - PLANNING NORTH AUGUSTA DEVELOPMENT CODE ZONING AND LAND DEVELOPMENT REGULATIONS
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH19STSIPUPL,"Chapter 19 - STREETS, SIDEWALKS AND PUBLIC PLACES"
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH21TA,Chapter 21 - TAXATION
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH22TRVE,Chapter 22 - TRAFFIC AND VEHICLES
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COOR_CH23VEHI,Chapter 23 - VEHICLES FOR HIRE
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=STRETA,STATUTORY REFERENCE TABLE
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COCOTA1970CO,CODE COMPARATIVE TABLE 1970 CODE
North Augusta,https://library.municode.com/sc/north_augusta/codes/code_of_ordinances?nodeId=COCOTAOR,"CODE COMPARATIVE TABLE ORDINANCES




 (This content was modified in this version of the code.)
modified"
