county,url,link_text
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=13394,Code of Ordinances
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COORTECASOCA,"CODE OF ORDINANCES CITY OF TEGA CAY, SOUTH CAROLINA"
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_CH6AN,Chapter 6 - ANIMALS
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_CH10BUBURE,Chapter 10 - BUILDINGS AND BUILDING REGULATIONS
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_CH14BU,Chapter 14 - BUSINESSES
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_CH18EL,Chapter 18 - ELECTIONS
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_CH22EN,Chapter 22 - ENVIRONMENT
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_CH24FIDE,Chapter 24 - FIRE DEPARTMENT
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_CH26LAEN,Chapter 26 - LAW ENFORCEMENT
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_CH30MUCO,Chapter 30 - MUNICIPAL COURT
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_CH34OFMIPR,Chapter 34 - OFFENSES AND MISCELLANEOUS PROVISIONS
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_CH38PARE,Chapter 38 - PARKS AND RECREATION
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_CH42SOWAMA,Chapter 42 - SOLID WASTE MANAGEMENT
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_CH44STMA,Chapter 44 - STORMWATER MANAGEMENT
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_CH46STSIOTPUPL,"Chapter 46 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_CH50TRVE,Chapter 50 - TRAFFIC AND VEHICLES
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_CH54UT,Chapter 54 - UTILITIES
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_APXAZO,Appendix A - ZONING
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_APXBSULADECO,Appendix B - SUBDIVISION LAND DEVELOPMENT CODE
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=COOR_APXDFESCTOVE,Appendix D - FEE SCHEDULE FOR TOWING OF VEHICLES
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE2002CO,CODE COMPARATIVE TABLE - 2002 CODE
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,CODE COMPARATIVE TABLE - ORDINANCES
Tega Cay,https://library.municode.com/sc/tega_cay/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
