county,url,link_text
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=14719,Code of Ordinances
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=THE_CODE_OFMTJUTE,"THE CODE OF THE CITY OF - MT. JULIET, TENNESSEE"
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=PTIICOOR_CH4ALBE,Chapter 4 - ALCOHOLIC BEVERAGES
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=PTIICOOR_CH6AN,Chapter 6 - ANIMALS
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=PTIICOOR_CH8BUBURE,Chapter 8 - BUILDINGS AND BUILDING REGULATIONS
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=PTIICOOR_CH10BU,Chapter 10 - BUSINESSES
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=PTIICOOR_CH12FIPRPREMSEFI,"Chapter 12 - FIRE PREVENTION AND PROTECTION/EMERGENCY SERVICES/FIREWORKS




 (This content was modified in this version of the code.)
modified"
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=PTIICOOR_CH14HESA,Chapter 14 - HEALTH AND SANITATION
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=PTIICOOR_CH16OFMIPR,Chapter 16 - OFFENSES AND MISCELLANEOUS PROVISIONS
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=PTIICOOR_CH18PLZO,Chapter 18 - PLANNING AND ZONING
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=PTIICOOR_CH24STSIOTPUPL,"Chapter 24 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=PTIICOOR_CH26TA,Chapter 26 - TAXATION
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=PTIICOOR_CH28TRVE,Chapter 28 - TRAFFIC AND VEHICLES
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=PTIICOOR_CH30UT,Chapter 30 - UTILITIES
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=PTIIILADECO,PART III - LAND DEVELOPMENT CODE
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1997CO,CODE COMPARATIVE TABLE - 1997 CODE
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
Mt. Juliet,https://library.municode.com/tn/mt._juliet/codes/code_of_ordinances?nodeId=STLARETA,"STATE LAW REFERENCE TABLE




 (This content was modified in this version of the code.)
modified"
