county,url,link_text
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=10188,Code of Ordinances
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=COABTE2022,"CODE OF THE CITY OF ABILENE, TEXAS 2022"
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH2AD,Chapter 2 - ADMINISTRATION
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH3AD,Chapter 3 - ADVERTISING
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH4AI,Chapter 4 - AIRPORTS
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH5AMSE,Chapter 5 - AMBULANCE SERVICES
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH6ANFO,Chapter 6 - ANIMALS AND FOWL
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH7CIDE,Chapter 7 - CIVIL DEFENSE
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH8CORE,Chapter 8 - CONSTRUCTION REGULATIONS
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH9CO,Chapter 9 - COURTS
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH10FIPRPR,Chapter 10 - FIRE PROTECTION AND PREVENTION
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH11FOFOHA,Chapter 11 - FOOD AND FOOD HANDLERS
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH12FR,Chapter 12 - FRANCHISES
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH13HESA,Chapter 13 - HEALTH AND SANITATION
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH15LA,Chapter 15 - LAKES
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH16MAES,Chapter 16 - MASSAGE ESTABLISHMENTS
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH17MIPR,Chapter 17 - MISCELLANEOUS PROVISIONS
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH18MOVETR,Chapter 18 - MOTOR VEHICLES AND TRAFFIC
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH19NUILDU,Chapter 19 - NUISANCES AND ILLEGAL DUMPING
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH20OF,Chapter 20 - OFFENSES
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH21OIGA,Chapter 21 - OIL AND GAS
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH22PARE,Chapter 22 - PARKS AND RECREATION
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH23SCBISH,Chapter 23 - SCOOTER AND BICYCLE SHARING
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH24WICONENOPURI-W,Chapter 24 - WIRELESS COMMUNICATION NETWORK NODES IN THE PUBLIC RIGHT-OF-WAY
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH25PO,Chapter 25 - POLICE
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH26RA,Chapter 26 - RAILROADS
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH27SOWA,Chapter 27 - SOLID WASTE
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH28SO,Chapter 28 - SOLICITATIONS
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH29STSI,Chapter 29 - STREETS AND SIDEWALKS
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH30TA,Chapter 30 - TAXATION
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH31VEHI,Chapter 31 - VEHICLES FOR HIRE
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIICO_CH32UT,Chapter 32 - UTILITIES
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=PTIIIAPANDECO,PART III - APPENDIX A—LAND DEVELOPMENT CODE
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=COCOTAOR,"CODE COMPARATIVE TABLE ORDINANCES




 (This content was modified in this version of the code.)
modified"
Abilene,https://library.municode.com/tx/abilene/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
