county,url,link_text
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=15243,Code of Ordinances
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=COORGRTE,"CODE OF ORDINANCES CITY OF GRANDVIEW, TEXAS"
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH2AD,Chapter 2 - ADMINISTRATION
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH4ADBUEN,Chapter 4 - ADULT BUSINESSES AND ENTERTAINMENT
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH6ALBE,Chapter 6 - ALCOHOLIC BEVERAGES
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH8AN,Chapter 8 - ANIMALS
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH10BUCO,Chapter 10 - BUILDINGS AND CONSTRUCTION
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH12BU,Chapter 12 - BUSINESSES
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH16COJA,Chapter 16 - COURTS AND JAILS
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH18EMMASE,Chapter 18 - EMERGENCY MANAGEMENT AND SERVICES
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH20EN,Chapter 20 - ENVIRONMENT
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH22FIPRPR,Chapter 22 - FIRE PREVENTION AND PROTECTION
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH24HEPUWE,Chapter 24 - HEALTH AND PUBLIC WELFARE
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH26HURESOSE,Chapter 26 - HUMAN RELATIONS AND SOCIAL SERVICES
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH30LAEN,Chapter 30 - LAW ENFORCEMENT
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH32MAMOHO,Chapter 32 - MANUFACTURED AND MOBILE HOMES
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH34NU,Chapter 34 - NUISANCES
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH36OF,Chapter 36 - OFFENSES
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH38OIGAWE,Chapter 38 - OIL AND GAS WELLS
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH40PARE,Chapter 40 - PARKS AND RECREATION
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH42SIOTAD,Chapter 42 - SIGNS AND OTHER ADVERTISING
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH44SOWA,Chapter 44 - SOLID WASTE
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH46STSIOTPUPL,"Chapter 46 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH48SU,Chapter 48 - SUBDIVISIONS
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH50TA,Chapter 50 - TAXATION
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH52TRVE,Chapter 52 - TRAFFIC AND VEHICLES
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH54UT,Chapter 54 - UTILITIES
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH56ZO,Chapter 56 - ZONING
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_ORD_CH57IMFE,Chapter 57 - IMPACT FEES
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1973CO,CODE COMPARATIVE TABLE - 1973 CODE
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1978CO,CODE COMPARATIVE TABLE - 1978 CODE
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
Grandview,https://library.municode.com/tx/grandview/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
