county,url,link_text
Jacinto City,https://library.municode.com/tx/jacinto_city/codes/code_of_ordinances?nodeId=13518,Code of Ordinances
Jacinto City,https://library.municode.com/tx/jacinto_city/codes/code_of_ordinances?nodeId=COORJATE,"CODE OF ORDINANCES CITY OF JACINTO CITY, TEXAS"
Jacinto City,https://library.municode.com/tx/jacinto_city/codes/code_of_ordinances?nodeId=CH1GEPR,CHAPTER 1 - GENERAL PROVISIONS
Jacinto City,https://library.municode.com/tx/jacinto_city/codes/code_of_ordinances?nodeId=CH2ANCO,CHAPTER 2 - ANIMAL CONTROL
Jacinto City,https://library.municode.com/tx/jacinto_city/codes/code_of_ordinances?nodeId=CH3BURE,CHAPTER 3 - BUILDING REGULATIONS
Jacinto City,https://library.municode.com/tx/jacinto_city/codes/code_of_ordinances?nodeId=CH4BURE,CHAPTER 4 - BUSINESS REGULATIONS
Jacinto City,https://library.municode.com/tx/jacinto_city/codes/code_of_ordinances?nodeId=CH5ELCO,CHAPTER 5 - ELECTRICAL CODE
Jacinto City,https://library.municode.com/tx/jacinto_city/codes/code_of_ordinances?nodeId=CH6FIPR,CHAPTER 6 - FIRE PROTECTION
Jacinto City,https://library.municode.com/tx/jacinto_city/codes/code_of_ordinances?nodeId=CH7HESA,CHAPTER 7 - HEALTH & SANITATION
Jacinto City,https://library.municode.com/tx/jacinto_city/codes/code_of_ordinances?nodeId=CH8PE,CHAPTER 8 - PERSONNEL
Jacinto City,https://library.municode.com/tx/jacinto_city/codes/code_of_ordinances?nodeId=CH9TRCO,CHAPTER 9 - TRAFFIC CODE
Jacinto City,https://library.municode.com/tx/jacinto_city/codes/code_of_ordinances?nodeId=CH10UT,CHAPTER 10 - UTILITIES
Jacinto City,https://library.municode.com/tx/jacinto_city/codes/code_of_ordinances?nodeId=CH11ZOOR,CHAPTER 11 - ZONING ORDINANCE
