county,url,link_text
McKinney,https://library.municode.com/tx/mckinney/codes/code_of_ordinances?nodeId=14250,Code of Ordinances
McKinney,https://library.municode.com/tx/mckinney/codes/code_of_ordinances?nodeId=COORMCTE,"CODE OF ORDINANCES CITY OF McKINNEY, TEXAS"
McKinney,https://library.municode.com/tx/mckinney/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
McKinney,https://library.municode.com/tx/mckinney/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
McKinney,https://library.municode.com/tx/mckinney/codes/code_of_ordinances?nodeId=SPAGEOR,"Subpart A - GENERAL ORDINANCES
 (This content was amended in this version of the code.)
amended"
McKinney,https://library.municode.com/tx/mckinney/codes/code_of_ordinances?nodeId=COORMCTE01,"CODE OF ORDINANCES CITY OF McKINNEY, TEXAS"
McKinney,https://library.municode.com/tx/mckinney/codes/code_of_ordinances?nodeId=SPBDERE,Subpart B - DEVELOPMENT REGULATIONS
McKinney,https://library.municode.com/tx/mckinney/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1982CO,CODE COMPARATIVE TABLE - 1982 CODE
McKinney,https://library.municode.com/tx/mckinney/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,CODE COMPARATIVE TABLE - ORDINANCES
McKinney,https://library.municode.com/tx/mckinney/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
