county,url,link_text
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=14506,Code of Ordinances
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COORNETE,"CODE OF ORDINANCES CITY OF NEEDVILLE, TEXAS




 (This content was modified in this version of the code.)
modified"
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH6ALBE,Chapter 6 - ALCOHOLIC BEVERAGES
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH10AN,Chapter 10 - ANIMALS
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH14BUBURE,Chapter 14 - BUILDINGS AND BUILDING REGULATIONS
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH18BUBURE,Chapter 18 - BUSINESSES AND BUSINESS REGULATIONS
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH21CACO,Chapter 21 - CATALYTIC CONVERTERS
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH22CO,Chapter 22 - COURT
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH26EMMA,Chapter 26 - EMERGENCY MANAGEMENT
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH30EN,Chapter 30 - ENVIRONMENT
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH34FIPR,Chapter 34 - FIRE PREVENTION
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH38FLPR,Chapter 38 - FLOOD PREVENTION
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH42HESA,Chapter 42 - HEALTH AND SANITATION
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH46LAEN,Chapter 46 - LAW ENFORCEMENT
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH50MAHO,Chapter 50 - MANUFACTURED HOUSING
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH54OFMIPR,Chapter 54 - OFFENSES AND MISCELLANEOUS PROVISIONS
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH58PL,Chapter 58 - PLANNING
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH62SEORBU,Chapter 62 - SEXUALLY ORIENTED BUSINESSES
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH66SI,Chapter 66 - SIGNS
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH70SOWA,Chapter 70 - SOLID WASTE
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH74STSIOTPUPL,"Chapter 74 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH78SU,Chapter 78 - SUBDIVISIONS
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH82TA,Chapter 82 - TAXATION
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH86TRVE,Chapter 86 - TRAFFIC AND VEHICLES
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH90UT,Chapter 90 - UTILITIES
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=COOR_CH94VEHI,Chapter 94 - VEHICLES FOR HIRE
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
Needville,https://library.municode.com/tx/needville/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
