county,url,link_text
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=12832,Code of Ordinances
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOROARINOTE,"CODE OF ORDINANCES CITY OF OAK RIDGE NORTH, TEXAS"
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH6ALBE,Chapter 6 - ALCOHOLIC BEVERAGES
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH10AN,Chapter 10 - ANIMALS
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH14BUBURE,Chapter 14 - BUILDINGS AND BUILDING REGULATIONS
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH15SUBUSTPRMACO,Chapter 15 - SUBSTANDARD BUILDINGS AND STRUCTURES/PROPERTY MAINTENANCE CODE
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH18BU,Chapter 18 - BUSINESSES
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH22CIEM,Chapter 22 - CIVIL EMERGENCIES
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH26CO,Chapter 26 - COURTS
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH30EL,Chapter 30 - ELECTIONS
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH34EN,Chapter 34 - ENVIRONMENT
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH38FIPRPR,Chapter 38 - FIRE PREVENTION AND PROTECTION
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH42FLDAPR,Chapter 42 - FLOOD DAMAGE PREVENTION
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH46LAEN,Chapter 46 - LAW ENFORCEMENT
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH50OFMIPR,Chapter 50 - OFFENSES AND MISCELLANEOUS PROVISIONS
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH54PARE,Chapter 54 - PARKS AND RECREATION
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH56PE,Chapter 56 - PERSONNEL
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH58PL,Chapter 58 - PLANNING
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH62SI,Chapter 62 - SIGNS
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH66SOWA,Chapter 66 - SOLID WASTE
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH68STSIOTPUPL,"Chapter 68 - STREETS, SIDEWALKS, AND OTHER PUBLIC PLACES"
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH70SU,Chapter 70 - SUBDIVISIONS
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH74TA,Chapter 74 - TAXATION
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH76TE,Chapter 76 - TELECOMMUNICATIONS
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH78TRVE,Chapter 78 - TRAFFIC AND VEHICLES
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_CH82UT,Chapter 82 - UTILITIES
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=COOR_APXAZO,APPENDIX A - ZONING
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
Oak Ridge North,https://library.municode.com/tx/oak_ridge_north/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
