county,url,link_text
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=15888,Code of Ordinances
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=COOROLTE,"CODE OF ORDINANCES CITY OF OLNEY, TEXAS"
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=PTIICOOR_CH2ANCO,Chapter 2 - ANIMAL CONTROL
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=PTIICOOR_CH3BURE,Chapter 3 - BUILDING REGULATIONS
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=PTIICOOR_CH4BURE,Chapter 4 - BUSINESS REGULATIONS
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=PTIICOOR_CH5FIPRPR,Chapter 5 - FIRE PREVENTION AND PROTECTION
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=PTIICOOR_CH6HESA,Chapter 6 - HEALTH AND SANITATION
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=PTIICOOR_CH7MUCO,Chapter 7 - MUNICIPAL COURT
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=PTIICOOR_CH8OFNU,Chapter 8 - OFFENSES AND NUISANCES
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=PTIICOOR_CH9PE,Chapter 9 - PERSONNEL
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=PTIICOOR_CH10SURE,Chapter 10 - SUBDIVISION REGULATION
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=PTIICOOR_CH11TA,Chapter 11 - TAXATION
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=PTIICOOR_CH12TRVE,Chapter 12 - TRAFFIC AND VEHICLES
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=PTIICOOR_CH13UT,Chapter 13 - UTILITIES
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=PTIICOOR_CH14ZO,Chapter 14 - ZONING
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=PTIICOOR_CD_COMPARATIVE_TABLELE2019CO,"CODE COMPARATIVE TABLE - LEGISLATION IN 2019 CODE




 (This content was modified in this version of the code.)
modified"
Olney,https://library.municode.com/tx/olney/codes/code_of_ordinances?nodeId=STLARETA,"STATE LAW REFERENCE TABLE




 (This content was modified in this version of the code.)
modified"
