county,url,link_text
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=17106,Code of Ordinances
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=COORPATE_CURRENT_OFFICIALS,CURRENT OFFICIALS
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=COORPATE_PREFACE_REPUBLICATION,PREFACE TO THE REPUBLICATION
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=HOME_RULE_CHARTER,HOME RULE CHARTER
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=CH1GEPR,CHAPTER 1 - GENERAL PROVISIONS
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=CH2ANCO,CHAPTER 2 - ANIMAL CONTROL
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=CH3BURE,CHAPTER 3 - BUILDING REGULATIONS
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=CH4BURE,CHAPTER 4 - BUSINESS REGULATIONS
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=CH5FIPRPR,CHAPTER 5 - FIRE PREVENTION AND PROTECTION
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=CH6HESA,CHAPTER 6 - HEALTH AND SANITATION
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=CH7MUCO,CHAPTER 7 - MUNICIPAL COURT
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=CH8OFNU,CHAPTER 8 - OFFENSES AND NUISANCES
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=CH9PE,CHAPTER 9 - PERSONNEL
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=CH10SURE,CHAPTER 10 - SUBDIVISION REGULATIONS
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=CH11TA,CHAPTER 11 - TAXATION
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=CH12TRVE,CHAPTER 12 - TRAFFIC AND VEHICLES
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=CH13UT,CHAPTER 13 - UTILITIES
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=CH14ZO,CHAPTER 14 - ZONING
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=APXAFESC,"APPENDIX A - FEE SCHEDULE




 (This content was modified in this version of the code.)
modified"
Palacios,https://library.municode.com/tx/palacios/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
