county,url,link_text
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=11508,Code of Ordinances
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=COSAANTEVOI,"CODE CITY OF SAN ANTONIO, TEXAS VOLUME I"
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTICH,CHARTER
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH2AD,Chapter 2 - ADMINISTRATION
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH3AI,Chapter 3 - AIRPORTS
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH4ALBE,Chapter 4 - ALCOHOLIC BEVERAGES
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH5AN,Chapter 5 - ANIMALS
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH6BU,Chapter 6 - BUILDINGS
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH7CE,Chapter 7 - CEMETERIES
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH8CIEMEMMA,Chapter 8 - CIVIL EMERGENCIES AND EMERGENCY MANAGEMENT
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH9RE,Chapter 9 - RESERVED
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH10BULACO,Chapter 10 - BUILDING-RELATED CODES
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH11FIPR,Chapter 11 - FIRE PREVENTION
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH12VABUDE,Chapter 12 - VACANT BUILDINGS AND DECONSTRUCTION
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH13FOFOHA,Chapter 13 - FOOD AND FOOD HANDLERS
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH14SOWA,Chapter 14 - SOLID WASTE
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH15HE,Chapter 15 - HEALTH
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH16LIBURE,Chapter 16 - LICENSES AND BUSINESS REGULATIONS
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH17MABU,Chapter 17 - MASSAGE BUSINESSES
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH18MOLIPA,Chapter 18 - MOBILE LIVING PARKS
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH19MOVETR,Chapter 19 - MOTOR VEHICLES AND TRAFFIC
San Antonio,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH20MUCO,Chapter 20 - MUNICIPAL COURT
