county,url,link_text
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=14473,Code of Ordinances
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COORSHPATE,"CODE OF ORDINANCES CITY OF SHAVANO PARK, TEXAS"
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_CH4AN,Chapter 4 - ANIMALS
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_CH6BUBURE,Chapter 6 - BUILDINGS AND BUILDING REGULATIONS
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_CH8BUBURE,Chapter 8 - BUSINESSES AND BUSINESS REGULATIONS
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_CH10CO,Chapter 10 - COURT
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_CH12EL,Chapter 12 - ELECTIONS
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_CH14EN,Chapter 14 - ENVIRONMENT
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_CH16FISA,Chapter 16 - FIRE SAFETY
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_CH18FLDAPR,Chapter 18 - FLOOD DAMAGE PREVENTION
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_CH20OFMIPR,Chapter 20 - OFFENSES AND MISCELLANEOUS PROVISIONS
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_CH22PUSASE,Chapter 22 - PUBLIC SAFETY SERVICES
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_CH24SI,Chapter 24 - SIGNS
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_CH28SU,Chapter 28 - SUBDIVISIONS
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_CH30TA,Chapter 30 - TAXATION
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_CH32TRVE,Chapter 32 - TRAFFIC AND VEHICLES
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_CH34UT,Chapter 34 - UTILITIES
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_CH36ZO,Chapter 36 - ZONING
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=COOR_APXACISHPAFESC,"APPENDIX A - CITY OF SHAVANO PARK FEE SCHEDULE




 (This content was modified in this version of the code.)
modified"
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
Shavano Park,https://library.municode.com/tx/shavano_park/codes/code_of_ordinances?nodeId=STLARETA,"STATE LAW REFERENCE TABLE




 (This content was modified in this version of the code.)
modified"
