county,url,link_text
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=14481,Code of Ordinances
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COORWATE,"CODE OF ORDINANCES CITY OF WAXAHACHIE, TEXAS"
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=CH,CHARTER
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=CHCOTA,CHARTER COMPARATIVE TABLE
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH3AD,Chapter 3 - ADVERTISING
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH4ALBE,Chapter 4 - ALCOHOLIC BEVERAGES
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH4_1-2AMEMMESE,Chapter 4½ - AMBULANCES AND EMERGENCY MEDICAL SERVICE
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH5AM,Chapter 5 - AMUSEMENTS
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH6ANFO,Chapter 6 - ANIMALS AND FOWL
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH8BU,Chapter 8 - BUILDING
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH8_1-2CACO,Chapter 8½ - CABLE COMMUNICATIONS
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH9CE,Chapter 9 - CEMETERIES
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH11FESC,Chapter 11 - FEE SCHEDULE
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH11_1-2EMMA,Chapter 11½ - EMERGENCY MANAGEMENT
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH12FIPRPR,Chapter 12 - FIRE PROTECTION AND PREVENTION
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH13FOFOHA,Chapter 13 - FOOD AND FOOD HANDLERS
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH14GATR,Chapter 14 - GARBAGE AND TRASH
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH15HESA,Chapter 15 - HEALTH AND SANITATION
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH16HO,Chapter 16 - HOUSING
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH17JUJUDE,Chapter 17 - JUNK AND JUNK DEALERS
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH18LAWA,Chapter 18 - LAKE WAXAHACHIE
Waxahachie,https://library.municode.com/tx/waxahachie/codes/code_of_ordinances?nodeId=COOR_CH19MOHO,Chapter 19 - MOBILE HOMES
