county,url,link_text
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=16602,Code of Ordinances
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=SALT_LAKE_CO_UTAHMUCO,"SALT LAKE COUNTY, UTAH - MUNICIPAL CODE"
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=OPPLSALACOGO,OPTIONAL PLAN FOR SALT LAKE COUNTY GOVERNMENT
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=TIT1GEPR,Title 1 - GENERAL PROVISIONS
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=TIT2ADPE,Title 2 - ADMINISTRATION AND PERSONNEL
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=TIT3REFI,Title 3 - REVENUE AND FINANCE
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=TIT5BULIRE,Title 5 - BUSINESS LICENSES AND REGULATIONS
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=TIT6FOBECO,Title 6 - FOOD AND BEVERAGE CONTROL
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=TIT8AN,Title 8 - ANIMALS
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=TIT9HESA,Title 9 - HEALTH AND SAFETY
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=TIT10PUPEMOWE,"Title 10 - PUBLIC PEACE, MORALS AND WELFARE"
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=TIT11VETR,Title 11 - VEHICLES AND TRAFFIC
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=TIT13PARE,Title 13 - PARKS AND RECREATION
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=TIT14HISIPUPL,"Title 14 - HIGHWAYS, SIDEWALKS AND PUBLIC PLACES"
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=TIT15BUCO,Title 15 - BUILDINGS AND CONSTRUCTION
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=TIT17FLCOWAQU,Title 17 - FLOOD CONTROL AND WATER QUALITY
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=TIT18SU,Title 18 - SUBDIVISIONS
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=TIT19ZO,Title 19 - ZONING
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=STREUTCO,STATUTORY REFERENCES FOR UTAH COUNTIES
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=CRRETA,CROSS REFERENCE TABLE
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=COORLIDITA,CONDENSED ORDINANCE LIST AND DISPOSITION TABLE*
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=ORLIDITA,ORDINANCE LIST AND DISPOSITION TABLE
Salt Lake County,https://library.municode.com/ut/salt_lake_county/codes/code_of_ordinances?nodeId=COCOTADILI,CODE COMPARATIVE TABLE AND DISPOSITION LIST
