county,url,link_text
Hopewell,https://library.municode.com/va/hopewell/codes/code_of_ordinances?nodeId=11004,Code of Ordinances
Hopewell,https://library.municode.com/va/hopewell/codes/code_of_ordinances?nodeId=COHOVI1981,"CODE CITY OF HOPEWELL, VIRGINIA 1981"
Hopewell,https://library.municode.com/va/hopewell/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Hopewell,https://library.municode.com/va/hopewell/codes/code_of_ordinances?nodeId=CH,CHARTER
Hopewell,https://library.municode.com/va/hopewell/codes/code_of_ordinances?nodeId=CHCOTA,CHARTER COMPARATIVE TABLE
Hopewell,https://library.municode.com/va/hopewell/codes/code_of_ordinances?nodeId=COCI_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Hopewell,https://library.municode.com/va/hopewell/codes/code_of_ordinances?nodeId=COCI_CH2AD,Chapter 2 - ADMINISTRATION
Hopewell,https://library.municode.com/va/hopewell/codes/code_of_ordinances?nodeId=COCI_CH2APR,Chapter 2A - PROCUREMENT
Hopewell,https://library.municode.com/va/hopewell/codes/code_of_ordinances?nodeId=COCI_CH3AD,Chapter 3 - ADVERTISING
Hopewell,https://library.municode.com/va/hopewell/codes/code_of_ordinances?nodeId=COCI_CH4AMEMMESEVE,Chapter 4 - AMBULANCES (EMERGENCY MEDICAL SERVICE VEHICLES)
Hopewell,https://library.municode.com/va/hopewell/codes/code_of_ordinances?nodeId=COCI_CH5AM,Chapter 5 - AMUSEMENTS
Hopewell,https://library.municode.com/va/hopewell/codes/code_of_ordinances?nodeId=COCI_CH6ANFO,Chapter 6 - ANIMALS AND FOWL
Hopewell,https://library.municode.com/va/hopewell/codes/code_of_ordinances?nodeId=COCI_CH8AUGR,Chapter 8 - AUTOMOBILE GRAVEYARDS
Hopewell,https://library.municode.com/va/hopewell/codes/code_of_ordinances?nodeId=COCI_CH9BABEPATAPA,"Chapter 9 - BARBERSHOPS, BEAUTY PARLORS, AND TATTOO PARLORS"
Hopewell,https://library.municode.com/va/hopewell/codes/code_of_ordinances?nodeId=COCI_CH10BI,Chapter 10 - BICYCLES
Hopewell,https://library.municode.com/va/hopewell/codes/code_of_ordinances?nodeId=COCI_CH11BURE,Chapter 11 - BUILDING REGULATIONS
Hopewell,https://library.municode.com/va/hopewell/codes/code_of_ordinances?nodeId=COCI_CH12CE,Chapter 12 - CEMETERIES
Hopewell,https://library.municode.com/va/hopewell/codes/code_of_ordinances?nodeId=COCI_CH12.5CRACNUOR,Chapter 12.5 - CRIMINAL ACTIVITY NUISANCE ORDINANCE
