county,url,link_text
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=14623,Code of Ordinances
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=COTOKIVI,"CODE TOWN OF KILMARNOCK, VIRGINIA"
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=PTICH,CHARTER
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=CHCOTAOR,CHARTER COMPARATIVE TABLE ORDINANCES
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=PTIICOOR_CH6AN,Chapter 6 - ANIMALS
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=PTIICOOR_CH10BUBURE,Chapter 10 - BUILDINGS AND BUILDING REGULATIONS
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=PTIICOOR_CH14BU,Chapter 14 - BUSINESSES
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=PTIICOOR_CH18EN,Chapter 18 - ENVIRONMENT
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=PTIICOOR_CH22FIPRPR,Chapter 22 - FIRE PROTECTION AND PREVENTION
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=PTIICOOR_CH26MIOF,Chapter 26 - MISCELLANEOUS OFFENSES
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=PTIICOOR_CH28PAREFA,Chapter 28 - PARKS AND RECREATIONAL FACILITIES
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=PTIICOOR_CH30SOWA,Chapter 30 - SOLID WASTE
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=PTIICOOR_CH34STSIOTPUPL,"Chapter 34 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=PTIICOOR_CH38SU,Chapter 38 - SUBDIVISIONS
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=PTIICOOR_CH42TA,Chapter 42 - TAXATION
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=PTIICOOR_CH43TEZO,Chapter 43 - TECHNOLOGY ZONES
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=PTIICOOR_CH46TRVE,Chapter 46 - TRAFFIC AND VEHICLES
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=PTIICOOR_CH50UT,Chapter 50 - UTILITIES
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=PTIICOOR_CH54ZO,Chapter 54 - ZONING
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1980CO,CODE COMPARATIVE TABLE - 1980 CODE
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1997CO,CODE COMPARATIVE TABLE - 1997 CODE
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=COCOTAOR,CODE COMPARATIVE TABLE ORDINANCES
Kilmarnock,https://library.municode.com/va/kilmarnock/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
