county,url,link_text
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=13990,Code of Ordinances
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=COORSUWI,"CODE OF ORDINANCES CITY OF SUPERIOR, WISCONSIN"
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTICHOR,PART I - CHARTER ORDINANCES
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH6ADSI,Chapter 6 - ADVERTISING AND SIGNS
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH10AIAI,Chapter 10 - AIRPORTS AND AIRCRAFT
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH14ALBE,Chapter 14 - ALCOHOL BEVERAGES
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH18AM,Chapter 18 - AMUSEMENTS
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH22AN,Chapter 22 - ANIMALS
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH26BI,Chapter 26 - BICYCLES
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH30BODOWA,"Chapter 30 - BOATS, DOCKS AND WATERWAYS"
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH34COCO,Chapter 34 - CONSTRUCTION CODE
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH38CACO,Chapter 38 - CABLE COMMUNICATIONS
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH42CIEM,Chapter 42 - CITY EMPLOYEES
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH46EL,Chapter 46 - ELECTIONS
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH50EMGO,Chapter 50 - EMERGENCY GOVERNMENT
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH54FIPRPR,Chapter 54 - FIRE PREVENTION AND PROTECTION
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH58GATR,Chapter 58 - GARBAGE AND TRASH
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH62HESA,Chapter 62 - HEALTH AND SANITATION
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH66JUSADEPASEDE,"Chapter 66 - JUNK (SALVAGE) DEALERS, PAWNBROKERS, SECONDHAND DEALERS"
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH70LI,Chapter 70 - LIBRARIES
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH74LIPEBURE,"Chapter 74 - LICENSES, PERMITS AND BUSINESS REGULATIONS"
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH78MAHOMAHOPA,Chapter 78 - MANUFACTURED HOMES AND MANUFACTURED HOME PARKS
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH82MOVETR,Chapter 82 - MOTOR VEHICLES AND TRAFFIC
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH86OFMIPR,Chapter 86 - OFFENSES AND MISCELLANEOUS PROVISIONS
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH90PAREFO,"Chapter 90 - PARKS, RECREATION AND FORESTRY"
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH94PESO,Chapter 94 - PEDDLERS AND SOLICITORS
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH98PLZODE,"Chapter 98 - PLANNING, ZONING AND DEVELOPMENT"
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH102PO,Chapter 102 - POLICE
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH104PRMAHOCO,Chapter 104 - PROPERTY MAINTENANCE AND HOUSING CODE
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH106STSI,Chapter 106 - STREETS AND SIDEWALKS
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH110SU,Chapter 110 - SUBDIVISIONS
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH112TRCO,Chapter 112 - TRAFFIC CODE
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH114UT,Chapter 114 - UTILITIES
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH118WEME,Chapter 118 - WEIGHTS AND MEASURES
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=PTIICOOR_CH122ZO,Chapter 122 - ZONING
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1971CO,CODE COMPARATIVE TABLE - 1971 CODE
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
Superior,https://library.municode.com/wi/superior/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
